text,class,__index_level_0__
"A 51-year-old individual, working in the Private sector, has an education level of HS-grad. They are Married-civ-spouse, working as Craft-repair, and have a Husband relationship.They belong to the White race, are Male",0,41348
"A 25-year-old individual, working in the Private sector, has an education level of Bachelors. They are Never-married, working as Exec-managerial, and have a Not-in-family relationship.They belong to the White race, are Female",0,44157
"A 64-year-old individual, working in the Private sector, has an education level of Bachelors. They are Married-civ-spouse, working as Sales, and have a Husband relationship.They belong to the White race, are Male",0,28369
"A 51-year-old individual, working in the Private sector, has an education level of 10th. They are Married-civ-spouse, working as Other-service, and have a Husband relationship.They belong to the White race, are Male",0,2410
"A 38-year-old individual, working in the Private sector, has an education level of Some-college. They are Married-civ-spouse, working as Tech-support, and have a Husband relationship.They belong to the White race, are Male",0,18840
"A 21-year-old individual, working in the Local-gov sector, has an education level of 12th. They are Never-married, working as Handlers-cleaners, and have a Unmarried relationship.They belong to the Black race, are Female",0,19539
"A 25-year-old individual, working in the Private sector, has an education level of Some-college. They are Married-civ-spouse, working as Craft-repair, and have a Husband relationship.They belong to the White race, are Male",0,7577
"A 24-year-old individual, working in the Self-emp-not-inc sector, has an education level of 11th. They are Never-married, working as Other-service, and have a Unmarried relationship.They belong to the Amer-Indian-Eskimo race, are Female",0,37683
"A 25-year-old individual, working in the Private sector, has an education level of Assoc-acdm. They are Never-married, working as Adm-clerical, and have a Own-child relationship.They belong to the White race, are Female",0,34941
"A 59-year-old individual, working in the Private sector, has an education level of Assoc-voc. They are Married-civ-spouse, working as Exec-managerial, and have a Husband relationship.They belong to the White race, are Male",0,36552
"A 50-year-old individual, working in the Local-gov sector, has an education level of Masters. They are Married-civ-spouse, working as Prof-specialty, and have a Husband relationship.They belong to the White race, are Male",0,38885
"A 42-year-old individual, working in the Self-emp-not-inc sector, has an education level of Bachelors. They are Never-married, working as Prof-specialty, and have a Not-in-family relationship.They belong to the White race, are Male",0,15678
"A 33-year-old individual, working in the Local-gov sector, has an education level of Some-college. They are Married-civ-spouse, working as Handlers-cleaners, and have a Husband relationship.They belong to the White race, are Male",0,16141
"A 31-year-old individual, working in the Private sector, has an education level of Some-college. They are Never-married, working as Sales, and have a Own-child relationship.They belong to the White race, are Female",0,13429
"A 45-year-old individual, working in the Self-emp-not-inc sector, has an education level of Prof-school. They are Married-civ-spouse, working as Prof-specialty, and have a Husband relationship.They belong to the White race, are Male",0,38689
"A 23-year-old individual, working in the Private sector, has an education level of Some-college. They are Married-civ-spouse, working as Tech-support, and have a Husband relationship.They belong to the White race, are Male",0,15917
"A 22-year-old individual, working in the Private sector, has an education level of HS-grad. They are Never-married, working as Other-service, and have a Not-in-family relationship.They belong to the White race, are Male",0,32614
"A 21-year-old individual, working in the ? sector, has an education level of Some-college. They are Never-married, working as ?, and have a Own-child relationship.They belong to the White race, are Male",0,10570
"A 52-year-old individual, working in the Private sector, has an education level of HS-grad. They are Married-spouse-absent, working as Adm-clerical, and have a Not-in-family relationship.They belong to the White race, are Female",0,20958
"A 43-year-old individual, working in the Private sector, has an education level of Some-college. They are Married-civ-spouse, working as Other-service, and have a Husband relationship.They belong to the White race, are Male",0,7934
"A 37-year-old individual, working in the Private sector, has an education level of 11th. They are Married-civ-spouse, working as Craft-repair, and have a Husband relationship.They belong to the White race, are Male",0,44320
"A 48-year-old individual, working in the State-gov sector, has an education level of Masters. They are Widowed, working as Prof-specialty, and have a Unmarried relationship.They belong to the White race, are Female",0,46971
"A 29-year-old individual, working in the Private sector, has an education level of HS-grad. They are Divorced, working as Machine-op-inspct, and have a Not-in-family relationship.They belong to the Black race, are Male",0,34489
"A 38-year-old individual, working in the Private sector, has an education level of Some-college. They are Divorced, working as Adm-clerical, and have a Unmarried relationship.They belong to the White race, are Female",0,27746
"A 35-year-old individual, working in the Private sector, has an education level of Bachelors. They are Married-civ-spouse, working as Exec-managerial, and have a Husband relationship.They belong to the White race, are Male",0,3625
"A 27-year-old individual, working in the Private sector, has an education level of Some-college. They are Never-married, working as Machine-op-inspct, and have a Own-child relationship.They belong to the White race, are Male",0,20962
"A 52-year-old individual, working in the Local-gov sector, has an education level of 7th-8th. They are Never-married, working as Other-service, and have a Other-relative relationship.They belong to the Black race, are Female",0,32401
"A 28-year-old individual, working in the Private sector, has an education level of Masters. They are Never-married, working as Prof-specialty, and have a Not-in-family relationship.They belong to the White race, are Male",0,8679
"A 28-year-old individual, working in the Private sector, has an education level of Some-college. They are Married-civ-spouse, working as Sales, and have a Husband relationship.They belong to the Amer-Indian-Eskimo race, are Male",0,29260
"A 43-year-old individual, working in the Self-emp-not-inc sector, has an education level of HS-grad. They are Married-civ-spouse, working as Farming-fishing, and have a Husband relationship.They belong to the White race, are Male",0,18410
"A 38-year-old individual, working in the Private sector, has an education level of Some-college. They are Never-married, working as Exec-managerial, and have a Not-in-family relationship.They belong to the White race, are Female",0,35894
"A 39-year-old individual, working in the Private sector, has an education level of Bachelors. They are Divorced, working as Adm-clerical, and have a Unmarried relationship.They belong to the White race, are Female",0,3756
"A 45-year-old individual, working in the State-gov sector, has an education level of Bachelors. They are Separated, working as Prof-specialty, and have a Not-in-family relationship.They belong to the White race, are Female",0,30574
"A 53-year-old individual, working in the Private sector, has an education level of HS-grad. They are Married-civ-spouse, working as Craft-repair, and have a Husband relationship.They belong to the White race, are Male",0,9615
"A 25-year-old individual, working in the Private sector, has an education level of Bachelors. They are Never-married, working as Other-service, and have a Own-child relationship.They belong to the White race, are Female",0,43674
"A 18-year-old individual, working in the Self-emp-not-inc sector, has an education level of HS-grad. They are Never-married, working as Farming-fishing, and have a Own-child relationship.They belong to the White race, are Male",0,10132
"A 28-year-old individual, working in the Private sector, has an education level of Bachelors. They are Never-married, working as Prof-specialty, and have a Not-in-family relationship.They belong to the White race, are Female",0,14409
"A 34-year-old individual, working in the State-gov sector, has an education level of HS-grad. They are Never-married, working as Other-service, and have a Own-child relationship.They belong to the Black race, are Male",0,15937
"A 32-year-old individual, working in the Private sector, has an education level of HS-grad. They are Divorced, working as Adm-clerical, and have a Unmarried relationship.They belong to the White race, are Female",0,13152
"A 23-year-old individual, working in the Private sector, has an education level of 11th. They are Never-married, working as Handlers-cleaners, and have a Own-child relationship.They belong to the White race, are Male",0,39741
"A 40-year-old individual, working in the Private sector, has an education level of 1st-4th. They are Never-married, working as Other-service, and have a Not-in-family relationship.They belong to the White race, are Male",0,12619
"A 55-year-old individual, working in the Private sector, has an education level of Bachelors. They are Married-civ-spouse, working as Craft-repair, and have a Husband relationship.They belong to the White race, are Male",0,4565
"A 26-year-old individual, working in the Private sector, has an education level of 12th. They are Never-married, working as Craft-repair, and have a Not-in-family relationship.They belong to the White race, are Male",0,19803
"A 68-year-old individual, working in the Private sector, has an education level of HS-grad. They are Never-married, working as Other-service, and have a Not-in-family relationship.They belong to the White race, are Male",0,40222
"A 28-year-old individual, working in the Private sector, has an education level of HS-grad. They are Never-married, working as Handlers-cleaners, and have a Own-child relationship.They belong to the White race, are Male",0,10306
"A 22-year-old individual, working in the Private sector, has an education level of Some-college. They are Never-married, working as Machine-op-inspct, and have a Not-in-family relationship.They belong to the White race, are Male",0,46716
"A 50-year-old individual, working in the Private sector, has an education level of 9th. They are Divorced, working as Transport-moving, and have a Not-in-family relationship.They belong to the White race, are Male",0,8319
"A 32-year-old individual, working in the Private sector, has an education level of Some-college. They are Married-civ-spouse, working as Other-service, and have a Husband relationship.They belong to the Black race, are Male",0,22473
"A 19-year-old individual, working in the Private sector, has an education level of HS-grad. They are Never-married, working as Adm-clerical, and have a Own-child relationship.They belong to the White race, are Female",0,36917
"A 25-year-old individual, working in the Private sector, has an education level of Bachelors. They are Married-civ-spouse, working as Sales, and have a Husband relationship.They belong to the White race, are Male",0,5500
"A 30-year-old individual, working in the Private sector, has an education level of HS-grad. They are Never-married, working as Other-service, and have a Unmarried relationship.They belong to the Black race, are Female",0,40572
"A 46-year-old individual, working in the Private sector, has an education level of Bachelors. They are Married-civ-spouse, working as Adm-clerical, and have a Husband relationship.They belong to the Asian-Pac-Islander race, are Male",0,37736
"A 57-year-old individual, working in the Private sector, has an education level of Bachelors. They are Divorced, working as Craft-repair, and have a Not-in-family relationship.They belong to the White race, are Male",0,32763
"A 38-year-old individual, working in the Local-gov sector, has an education level of Bachelors. They are Separated, working as Prof-specialty, and have a Unmarried relationship.They belong to the Black race, are Male",0,1936
"A 30-year-old individual, working in the Private sector, has an education level of 5th-6th. They are Married-civ-spouse, working as Craft-repair, and have a Husband relationship.They belong to the White race, are Male",0,14786
"A 26-year-old individual, working in the Private sector, has an education level of Some-college. They are Never-married, working as Adm-clerical, and have a Not-in-family relationship.They belong to the White race, are Female",0,16455
"A 31-year-old individual, working in the Self-emp-inc sector, has an education level of HS-grad. They are Never-married, working as Craft-repair, and have a Not-in-family relationship.They belong to the White race, are Male",0,29706
"A 18-year-old individual, working in the nan sector, has an education level of HS-grad. They are Never-married, working as nan, and have a Not-in-family relationship.They belong to the White race, are Male",0,43927
"A 42-year-old individual, working in the Private sector, has an education level of Bachelors. They are Married-civ-spouse, working as Sales, and have a Husband relationship.They belong to the White race, are Male",0,46291
"A 32-year-old individual, working in the Federal-gov sector, has an education level of Prof-school. They are Never-married, working as Prof-specialty, and have a Not-in-family relationship.They belong to the White race, are Male",0,46328
"A 48-year-old individual, working in the Private sector, has an education level of 7th-8th. They are Divorced, working as Other-service, and have a Not-in-family relationship.They belong to the White race, are Male",0,39404
"A 56-year-old individual, working in the Local-gov sector, has an education level of HS-grad. They are Married-civ-spouse, working as Craft-repair, and have a Husband relationship.They belong to the White race, are Male",0,46127
"A 25-year-old individual, working in the Private sector, has an education level of HS-grad. They are Never-married, working as Adm-clerical, and have a Own-child relationship.They belong to the White race, are Male",0,2087
"A 33-year-old individual, working in the Private sector, has an education level of 7th-8th. They are Married-civ-spouse, working as Farming-fishing, and have a Husband relationship.They belong to the White race, are Male",0,28959
"A 40-year-old individual, working in the Private sector, has an education level of HS-grad. They are Divorced, working as Machine-op-inspct, and have a Not-in-family relationship.They belong to the White race, are Female",0,5324
"A 36-year-old individual, working in the Private sector, has an education level of HS-grad. They are Divorced, working as Machine-op-inspct, and have a Unmarried relationship.They belong to the White race, are Female",0,20691
"A 21-year-old individual, working in the Private sector, has an education level of Some-college. They are Never-married, working as Farming-fishing, and have a Own-child relationship.They belong to the White race, are Male",0,35667
"A 24-year-old individual, working in the Private sector, has an education level of Some-college. They are Never-married, working as Handlers-cleaners, and have a Own-child relationship.They belong to the Asian-Pac-Islander race, are Male",0,8844
"A 58-year-old individual, working in the Private sector, has an education level of 7th-8th. They are Married-civ-spouse, working as Machine-op-inspct, and have a Husband relationship.They belong to the White race, are Male",0,29667
"A 81-year-old individual, working in the ? sector, has an education level of Assoc-voc. They are Divorced, working as ?, and have a Unmarried relationship.They belong to the White race, are Female",0,32525
"A 26-year-old individual, working in the Private sector, has an education level of Some-college. They are Divorced, working as Sales, and have a Not-in-family relationship.They belong to the White race, are Male",0,41687
"A 33-year-old individual, working in the Private sector, has an education level of HS-grad. They are Married-civ-spouse, working as Machine-op-inspct, and have a Husband relationship.They belong to the White race, are Male",0,47106
"A 43-year-old individual, working in the Private sector, has an education level of HS-grad. They are Married-civ-spouse, working as Craft-repair, and have a Husband relationship.They belong to the White race, are Male",0,42664
"A 31-year-old individual, working in the Private sector, has an education level of Some-college. They are Divorced, working as Exec-managerial, and have a Unmarried relationship.They belong to the Black race, are Male",0,34979
"A 37-year-old individual, working in the State-gov sector, has an education level of Assoc-acdm. They are Divorced, working as Protective-serv, and have a Not-in-family relationship.They belong to the Black race, are Male",0,7326
"A 52-year-old individual, working in the ? sector, has an education level of Prof-school. They are Married-spouse-absent, working as ?, and have a Unmarried relationship.They belong to the Asian-Pac-Islander race, are Female",0,9626
"A 18-year-old individual, working in the Self-emp-inc sector, has an education level of 11th. They are Never-married, working as Farming-fishing, and have a Own-child relationship.They belong to the White race, are Male",0,40221
"A 37-year-old individual, working in the Private sector, has an education level of Some-college. They are Divorced, working as Sales, and have a Not-in-family relationship.They belong to the White race, are Male",0,47922
"A 52-year-old individual, working in the Private sector, has an education level of Assoc-voc. They are Divorced, working as Other-service, and have a Not-in-family relationship.They belong to the White race, are Male",0,7941
"A 26-year-old individual, working in the Private sector, has an education level of Assoc-voc. They are Divorced, working as Adm-clerical, and have a Not-in-family relationship.They belong to the White race, are Female",0,851
"A 28-year-old individual, working in the Self-emp-not-inc sector, has an education level of HS-grad. They are Married-civ-spouse, working as Prof-specialty, and have a Husband relationship.They belong to the White race, are Male",0,12805
"A 60-year-old individual, working in the Self-emp-not-inc sector, has an education level of HS-grad. They are Never-married, working as Farming-fishing, and have a Unmarried relationship.They belong to the White race, are Male",0,983
"A 39-year-old individual, working in the ? sector, has an education level of HS-grad. They are Never-married, working as ?, and have a Not-in-family relationship.They belong to the White race, are Male",0,2382
"A 34-year-old individual, working in the Private sector, has an education level of HS-grad. They are Married-civ-spouse, working as Other-service, and have a Wife relationship.They belong to the White race, are Female",0,33744
"A 22-year-old individual, working in the Private sector, has an education level of Preschool. They are Never-married, working as Other-service, and have a Own-child relationship.They belong to the Black race, are Female",0,38356
"A 24-year-old individual, working in the Private sector, has an education level of HS-grad. They are Never-married, working as Handlers-cleaners, and have a Unmarried relationship.They belong to the Black race, are Female",0,411
"A 43-year-old individual, working in the State-gov sector, has an education level of HS-grad. They are Married-civ-spouse, working as Craft-repair, and have a Husband relationship.They belong to the White race, are Male",0,38641
"A 52-year-old individual, working in the Private sector, has an education level of HS-grad. They are Widowed, working as Adm-clerical, and have a Other-relative relationship.They belong to the Black race, are Female",0,45918
"A 47-year-old individual, working in the Private sector, has an education level of Some-college. They are Divorced, working as Adm-clerical, and have a Not-in-family relationship.They belong to the White race, are Female",0,29794
"A 70-year-old individual, working in the ? sector, has an education level of Some-college. They are Widowed, working as ?, and have a Not-in-family relationship.They belong to the White race, are Female",0,31908
"A 54-year-old individual, working in the Local-gov sector, has an education level of Some-college. They are Divorced, working as Exec-managerial, and have a Unmarried relationship.They belong to the Black race, are Female",0,945
"A 42-year-old individual, working in the Self-emp-inc sector, has an education level of Bachelors. They are Married-civ-spouse, working as Exec-managerial, and have a Husband relationship.They belong to the White race, are Male",0,34119
"A 59-year-old individual, working in the Private sector, has an education level of 12th. They are Divorced, working as Transport-moving, and have a Other-relative relationship.They belong to the Black race, are Male",0,26464
"A 31-year-old individual, working in the Local-gov sector, has an education level of Some-college. They are Never-married, working as Protective-serv, and have a Not-in-family relationship.They belong to the Black race, are Male",0,38565
"A 18-year-old individual, working in the Private sector, has an education level of 11th. They are Never-married, working as Adm-clerical, and have a Not-in-family relationship.They belong to the White race, are Male",0,2482
"A 38-year-old individual, working in the Private sector, has an education level of Bachelors. They are Married-civ-spouse, working as Exec-managerial, and have a Husband relationship.They belong to the White race, are Male",0,6397
"A 37-year-old individual, working in the Private sector, has an education level of 9th. They are Married-civ-spouse, working as Transport-moving, and have a Husband relationship.They belong to the White race, are Male",0,24898
"A 23-year-old individual, working in the Private sector, has an education level of Some-college. They are Never-married, working as Exec-managerial, and have a Own-child relationship.They belong to the White race, are Male",0,37567
"A 27-year-old individual, working in the Private sector, has an education level of Some-college. They are Never-married, working as Other-service, and have a Own-child relationship.They belong to the White race, are Male",0,2409
"A 35-year-old individual, working in the Private sector, has an education level of HS-grad. They are Divorced, working as Exec-managerial, and have a Unmarried relationship.They belong to the White race, are Female",0,25109
"A 40-year-old individual, working in the Private sector, has an education level of Doctorate. They are Married-civ-spouse, working as Prof-specialty, and have a Husband relationship.They belong to the White race, are Male",0,38165
"A 66-year-old individual, working in the Private sector, has an education level of HS-grad. They are Widowed, working as Craft-repair, and have a Not-in-family relationship.They belong to the White race, are Male",0,19930
"A 33-year-old individual, working in the Local-gov sector, has an education level of Bachelors. They are Never-married, working as Prof-specialty, and have a Not-in-family relationship.They belong to the Black race, are Female",0,7637
"A 29-year-old individual, working in the Private sector, has an education level of HS-grad. They are Married-civ-spouse, working as Handlers-cleaners, and have a Husband relationship.They belong to the Black race, are Male",0,27606
"A 25-year-old individual, working in the Private sector, has an education level of Some-college. They are Never-married, working as Sales, and have a Own-child relationship.They belong to the White race, are Male",0,48021
"A 20-year-old individual, working in the Never-worked sector, has an education level of Some-college. They are Never-married, working as ?, and have a Own-child relationship.They belong to the Black race, are Male",0,23232
"A 23-year-old individual, working in the nan sector, has an education level of HS-grad. They are Never-married, working as nan, and have a Not-in-family relationship.They belong to the White race, are Male",0,37337
"A 33-year-old individual, working in the Private sector, has an education level of Some-college. They are Married-spouse-absent, working as Sales, and have a Unmarried relationship.They belong to the Amer-Indian-Eskimo race, are Male",0,44451
"A 40-year-old individual, working in the Self-emp-not-inc sector, has an education level of Assoc-acdm. They are Married-civ-spouse, working as Adm-clerical, and have a Wife relationship.They belong to the White race, are Female",0,38631
"A 49-year-old individual, working in the State-gov sector, has an education level of Bachelors. They are Divorced, working as Prof-specialty, and have a Not-in-family relationship.They belong to the White race, are Male",0,15872
"A 46-year-old individual, working in the Private sector, has an education level of Bachelors. They are Married-civ-spouse, working as Sales, and have a Husband relationship.They belong to the White race, are Male",0,46180
"A 29-year-old individual, working in the Private sector, has an education level of 10th. They are Married-civ-spouse, working as Farming-fishing, and have a Wife relationship.They belong to the Amer-Indian-Eskimo race, are Female",0,2993
